control_seq,control_time,planning_seq_used,planning_pub_time,planning_lidar_timestamp,planning_data_age_at_control_ms,planning_reuse_count,throttle,brake,steering
10766,1788414554.039361000,659,1788414553.972682476,1788414553731710473,307.650566,11,22.355060876,0.000000000,-5.278434055
10767,1788414554.049207211,659,1788414553.972682476,1788414553731710473,317.496777,11,0.000000000,14.500000000,-5.275493702
10768,1788414554.058923244,659,1788414553.972682476,1788414553731710473,327.212811,11,0.000000000,14.500000000,-5.268805630
10769,1788414554.069329500,659,1788414553.972682476,1788414553731710473,337.619066,11,0.000000000,14.500000000,-5.260852218
10770,1788414554.079058886,659,1788414553.972682476,1788414553731710473,347.348452,11,0.000000000,14.500000000,-5.254397092
10771,1788414554.089323759,660,1788414554.076510429,1788414553831471853,257.851839,10,21.131207661,0.000000000,-5.250307462
10772,1788414554.098958492,660,1788414554.076510429,1788414553831471853,267.486572,10,21.128384714,0.000000000,-5.248424350
10773,1788414554.109266758,660,1788414554.076510429,1788414553831471853,277.794838,10,21.706366096,0.000000000,-5.248037322
10774,1788414554.118860245,660,1788414554.076510429,1788414553831471853,287.388325,10,21.705291571,0.000000000,-5.248383835
10775,1788414554.129468203,660,1788414554.076510429,1788414553831471853,297.996283,10,22.285021375,0.000000000,-5.248952798
10776,1788414554.141805887,660,1788414554.076510429,1788414553831471853,310.333967,10,21.933078520,0.000000000,-5.249084449
10777,1788414554.151328802,660,1788414554.076510429,1788414553831471853,319.856882,10,0.000000000,14.500000000,-5.247310259
10778,1788414554.159379482,660,1788414554.076510429,1788414553831471853,327.907562,10,0.000000000,14.500000000,-5.242966588
10779,1788414554.169247150,660,1788414554.076510429,1788414553831471853,337.775230,10,0.000000000,14.500000000,-5.237729996
10780,1788414554.179370642,660,1788414554.076510429,1788414553831471853,347.898722,10,0.000000000,14.500000000,-5.233454523
10781,1788414554.189530849,661,1788414554.177052975,1788414553931712880,257.817984,9,0.000000000,14.500000000,-5.230772637
10782,1788414554.199518204,661,1788414554.177052975,1788414553931712880,267.805338,9,0.000000000,14.500000000,-5.229636897
10783,1788414554.211164236,661,1788414554.177052975,1788414553931712880,279.451370,9,21.274125822,0.000000000,-5.229539542
10784,1788414554.219245672,661,1788414554.177052975,1788414553931712880,287.532806,9,21.271881392,0.000000000,-5.229907493
10785,1788414554.228988409,661,1788414554.177052975,1788414553931712880,297.275543,9,21.850038941,0.000000000,-5.230378646
10786,1788414554.238952637,661,1788414554.177052975,1788414553931712880,307.239771,9,21.619375818,0.000000000,-5.230522535
10787,1788414554.249149084,661,1788414554.177052975,1788414553931712880,317.436218,9,0.000000000,14.500000000,-5.229755903
10788,1788414554.259624243,661,1788414554.177052975,1788414553931712880,327.911377,9,0.000000000,14.500000000,-5.228080893
10789,1788414554.270996332,661,1788414554.177052975,1788414553931712880,339.283466,9,0.000000000,14.500000000,-5.226215251
10790,1788414554.279469728,662,1788414554.269963503,1788414554031266852,248.202801,10,0.000000000,14.500000000,-5.224849763
10791,1788414554.289196253,662,1788414554.269963503,1788414554031266852,257.929325,10,0.000000000,14.500000000,-5.224253098
10792,1788414554.298953295,662,1788414554.269963503,1788414554031266852,267.686367,10,0.000000000,14.500000000,-5.224238831
10793,1788414554.309192181,662,1788414554.269963503,1788414554031266852,277.925253,10,0.000000000,14.500000000,-5.224475220
10794,1788414554.318995714,662,1788414554.269963503,1788414554031266852,287.728786,10,0.000000000,14.500000000,-5.224757435
10795,1788414554.328909636,662,1788414554.269963503,1788414554031266852,297.642708,10,21.530388593,0.000000000,-5.224986878
10796,1788414554.339076757,662,1788414554.269963503,1788414554031266852,307.809830,10,21.364196902,0.000000000,-5.224957079
10797,1788414554.348804235,662,1788414554.269963503,1788414554031266852,317.537308,10,0.000000000,14.500000000,-5.224127653
10798,1788414554.364941835,662,1788414554.269963503,1788414554031266852,333.674908,10,0.000000000,14.500000000,-5.222311174
10799,1788414554.369148970,662,1788414554.269963503,1788414554031266852,337.882042,10,0.000000000,14.500000000,-5.220199839
10800,1788414554.379148483,663,1788414554.371305466,1788414554131221393,247.926950,9,0.000000000,14.500000000,-5.218557755
10801,1788414554.389006138,663,1788414554.371305466,1788414554131221393,257.784605,9,0.000000000,14.500000000,-5.217643034
10802,1788414554.398989916,663,1788414554.371305466,1788414554131221393,267.768383,9,0.000000000,14.500000000,-5.217324942
10803,1788414554.408988237,663,1788414554.371305466,1788414554131221393,277.766705,9,0.000000000,14.500000000,-5.217341277
10804,1788414554.418997765,663,1788414554.371305466,1788414554131221393,287.776232,9,0.000000000,14.500000000,-5.217495270
10805,1788414554.429016352,663,1788414554.371305466,1788414554131221393,297.794819,9,21.247505826,0.000000000,-5.217668245
10806,1788414554.439119816,663,1788414554.371305466,1788414554131221393,307.898283,9,21.143697104,0.000000000,-5.217695240
10807,1788414554.449003220,663,1788414554.371305466,1788414554131221393,317.781687,9,0.000000000,14.500000000,-5.217254954
10808,1788414554.459007978,663,1788414554.371305466,1788414554131221393,327.786446,9,0.000000000,14.500000000,-5.216261541
10809,1788414554.469115973,664,1788414554.465537310,1788414554232098638,237.017393,10,0.000000000,14.500000000,-5.215210022
10810,1788414554.479000568,664,1788414554.465537310,1788414554232098638,246.901989,10,0.000000000,14.500000000,-5.214605348
10811,1788414554.489164829,664,1788414554.465537310,1788414554232098638,257.066250,10,0.000000000,14.500000000,-5.214446124
10812,1788414554.498992443,664,1788414554.465537310,1788414554232098638,266.893864,10,0.000000000,14.500000000,-5.214516562
10813,1788414554.509006023,664,1788414554.465537310,1788414554232098638,276.907444,10,0.000000000,14.500000000,-5.214666381
10814,1788414554.518893480,664,1788414554.465537310,1788414554232098638,286.794901,10,0.000000000,14.500000000,-5.214811536
10815,1788414554.529015541,664,1788414554.465537310,1788414554232098638,296.916962,10,21.017676326,0.000000000,-5.214917573
10816,1788414554.539142370,664,1788414554.465537310,1788414554232098638,307.043791,10,0.000000000,14.500000000,-5.214931053
10817,1788414554.549002171,664,1788414554.465537310,1788414554232098638,316.903591,10,0.000000000,14.500000000,-5.214855891
10818,1788414554.559082031,664,1788414554.465537310,1788414554232098638,326.983452,10,0.000000000,14.500000000,-5.214816992
10819,1788414554.569280863,665,1788414554.565027237,1788414554331186965,238.093853,10,0.000000000,14.500000000,-5.214993069
10820,1788414554.579029083,665,1788414554.565027237,1788414554331186965,247.842073,10,0.000000000,14.500000000,-5.215491089
10821,1788414554.588872433,665,1788414554.565027237,1788414554331186965,257.685423,10,0.000000000,14.500000000,-5.216136138
10822,1788414554.598936081,665,1788414554.565027237,1788414554331186965,267.749071,10,0.000000000,14.500000000,-5.216678504
10823,1788414554.609069824,665,1788414554.565027237,1788414554331186965,277.882814,10,0.000000000,14.500000000,-5.217038552
10824,1788414554.619115353,665,1788414554.565027237,1788414554331186965,287.928343,10,0.000000000,14.500000000,-5.217229155
10825,1788414554.629151583,665,1788414554.565027237,1788414554331186965,297.964573,10,0.000000000,14.500000000,-5.217299126
10826,1788414554.639048338,665,1788414554.565027237,1788414554331186965,307.861328,10,22.341703920,0.000000000,-5.218917166
10827,1788414554.649234533,665,1788414554.565027237,1788414554331186965,318.047523,10,0.000000000,14.500000000,-5.224483719
