record_file,record_time_ns,record_time_sec,channel,data_type,header_timestamp_sec,header_sequence_num,control_seq,header_module_name,header_lidar_timestamp,header_camera_timestamp,header_radar_timestamp,total_time_ms,task_index,task_name,task_time_ms
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541422984525,1783598541.4229844,/apollo/control,apollo.control.ControlCommand,1783598541.4227605,6697,6697,control,1783598541018617000,0,0,1.220816,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541433055214,1783598541.4330552,/apollo/control,apollo.control.ControlCommand,1783598541.4327662,6698,6698,control,1783598541018617000,0,0,1.2311519999999998,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541443171535,1783598541.4431715,/apollo/control,apollo.control.ControlCommand,1783598541.4428265,6699,6699,control,1783598541018617000,0,0,1.287825,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541452761450,1783598541.4527614,/apollo/control,apollo.control.ControlCommand,1783598541.4524608,6700,6700,control,1783598541018617000,0,0,0.921803,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541464620930,1783598541.464621,/apollo/control,apollo.control.ControlCommand,1783598541.4644039,6701,6701,control,1783598541018617000,0,0,0.871467,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541475883923,1783598541.475884,/apollo/control,apollo.control.ControlCommand,1783598541.4755552,6702,6702,control,1783598541018617000,0,0,1.964473,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541485907443,1783598541.4859076,/apollo/control,apollo.control.ControlCommand,1783598541.485552,6703,6703,control,1783598541118702503,0,0,1.9796089999999997,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541494936519,1783598541.4949365,/apollo/control,apollo.control.ControlCommand,1783598541.4942155,6704,6704,control,1783598541118702503,0,0,0.6879759999999999,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541505468942,1783598541.5054688,/apollo/control,apollo.control.ControlCommand,1783598541.5051324,6705,6705,control,1783598541118702503,0,0,1.560756,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541514780581,1783598541.5147808,/apollo/control,apollo.control.ControlCommand,1783598541.5143557,6706,6706,control,1783598541118702503,0,0,0.834954,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541525801202,1783598541.5258012,/apollo/control,apollo.control.ControlCommand,1783598541.5250998,6707,6707,control,1783598541118702503,0,0,1.551476,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541535679345,1783598541.5356793,/apollo/control,apollo.control.ControlCommand,1783598541.5352657,6708,6708,control,1783598541118702503,0,0,1.6657810000000002,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541545489326,1783598541.5454893,/apollo/control,apollo.control.ControlCommand,1783598541.5449436,6709,6709,control,1783598541118702503,0,0,1.38757,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541555458926,1783598541.5554588,/apollo/control,apollo.control.ControlCommand,1783598541.5548744,6710,6710,control,1783598541118702503,0,0,1.328465,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541562791564,1783598541.5627916,/apollo/control,apollo.control.ControlCommand,1783598541.562552,6711,6711,control,1783598541218447132,0,0,1.05307,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541575535759,1783598541.5755358,/apollo/control,apollo.control.ControlCommand,1783598541.5750196,6712,6712,control,1783598541218447132,0,0,1.4709949999999998,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541583412244,1783598541.5834122,/apollo/control,apollo.control.ControlCommand,1783598541.5829191,6713,6713,control,1783598541218447132,0,0,1.3616819999999998,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541593341011,1783598541.5933409,/apollo/control,apollo.control.ControlCommand,1783598541.5928257,6714,6714,control,1783598541218447132,0,0,1.279953,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541603403540,1783598541.6034036,/apollo/control,apollo.control.ControlCommand,1783598541.6030087,6715,6715,control,1783598541218447132,0,0,1.422418,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541613663864,1783598541.6136637,/apollo/control,apollo.control.ControlCommand,1783598541.6132505,6716,6716,control,1783598541218447132,0,0,1.670645,-1,,
