control_seq,control_record_time_sec,control_header_timestamp_sec,planning_header_sequence_num,planning_header_timestamp_sec,planning_publish_record_time_sec,matched_planning_seq_from_record,planning_age_ms,planning_trajectory_point_size,planning_trajectory_type,reuse_count,reuse_index_in_run
7663,1783598551.0835645,1783598551.0833175,346,1783598551.0666234,1783598551.0674155,346,16.149044036865234,136,NORMAL,7,2
7664,1783598551.0939229,1783598551.0937328,346,1783598551.0666234,1783598551.0674155,346,26.50737762451172,136,NORMAL,7,3
7665,1783598551.1034172,1783598551.1032484,346,1783598551.0666234,1783598551.0674155,346,36.00168228149414,136,NORMAL,7,4
7666,1783598551.1135702,1783598551.1133263,346,1783598551.0666234,1783598551.0674155,346,46.15473747253418,136,NORMAL,7,5
7667,1783598551.1234884,1783598551.1233118,346,1783598551.0666234,1783598551.0674155,346,56.07295036315918,136,NORMAL,7,6
7668,1783598551.1335022,1783598551.1333,346,1783598551.0666234,1783598551.0674155,346,66.0867691040039,136,NORMAL,7,7
7669,1783598551.1440117,1783598551.1438098,347,1783598551.1382885,1783598551.1390631,347,4.948616027832031,136,NORMAL,8,1
7670,1783598551.1538587,1783598551.1535525,347,1783598551.1382885,1783598551.1390631,347,14.795541763305664,136,NORMAL,8,2
7671,1783598551.163604,1783598551.1633785,347,1783598551.1382885,1783598551.1390631,347,24.54090118408203,136,NORMAL,8,3
7672,1783598551.1736588,1783598551.1734283,347,1783598551.1382885,1783598551.1390631,347,34.59572792053223,136,NORMAL,8,4
7673,1783598551.1835868,1783598551.1832743,347,1783598551.1382885,1783598551.1390631,347,44.52371597290039,136,NORMAL,8,5
7674,1783598551.1957068,1783598551.193561,347,1783598551.1382885,1783598551.1390631,347,56.64372444152832,136,NORMAL,8,6
7675,1783598551.2051692,1783598551.2035956,347,1783598551.1382885,1783598551.1390631,347,66.10608100891113,136,NORMAL,8,7
7676,1783598551.2222643,1783598551.221588,347,1783598551.1382885,1783598551.1390631,347,83.20116996765137,136,NORMAL,8,8
7677,1783598551.2254283,1783598551.2251139,348,1783598551.2190151,1783598551.220032,348,5.396366119384766,136,NORMAL,8,1
7678,1783598551.2354004,1783598551.2350698,348,1783598551.2190151,1783598551.220032,348,15.368461608886719,136,NORMAL,8,2
7679,1783598551.2451994,1783598551.2448664,348,1783598551.2190151,1783598551.220032,348,25.167465209960938,136,NORMAL,8,3
7680,1783598551.2551928,1783598551.2549534,348,1783598551.2190151,1783598551.220032,348,35.16077995300293,136,NORMAL,8,4
7681,1783598551.265237,1783598551.2649496,348,1783598551.2190151,1783598551.220032,348,45.205116271972656,136,NORMAL,8,5
7682,1783598551.2753587,1783598551.2750802,348,1783598551.2190151,1783598551.220032,348,55.32670021057129,136,NORMAL,8,6
7683,1783598551.2853816,1783598551.2850912,348,1783598551.2190151,1783598551.220032,348,65.34957885742188,136,NORMAL,8,7
7684,1783598551.2951925,1783598551.2949166,348,1783598551.2190151,1783598551.220032,348,75.16050338745117,136,NORMAL,8,8
7685,1783598551.305647,1783598551.3053398,349,1783598551.296152,1783598551.2967951,349,8.851766586303711,136,NORMAL,8,1
7686,1783598551.313056,1783598551.3128173,349,1783598551.296152,1783598551.2967951,349,16.260862350463867,136,NORMAL,8,2
7687,1783598551.3249357,1783598551.3247385,349,1783598551.296152,1783598551.2967951,349,28.140544891357422,136,NORMAL,8,3
7688,1783598551.335033,1783598551.3348508,349,1783598551.296152,1783598551.2967951,349,38.237810134887695,136,NORMAL,8,4
7689,1783598551.345282,1783598551.3450854,349,1783598551.296152,1783598551.2967951,349,48.486948013305664,136,NORMAL,8,5
7690,1783598551.3573294,1783598551.357073,349,1783598551.296152,1783598551.2967951,349,60.53423881530762,136,NORMAL,8,6
7691,1783598551.365385,1783598551.3651094,349,1783598551.296152,1783598551.2967951,349,68.58992576599121,136,NORMAL,8,7
7692,1783598551.375249,1783598551.3750546,349,1783598551.296152,1783598551.2967951,349,78.45377922058105,136,NORMAL,8,8
7693,1783598551.3854423,1783598551.3852103,350,1783598551.3736346,1783598551.3750439,350,10.398387908935547,136,NORMAL,8,1
7694,1783598551.3948474,1783598551.3947012,350,1783598551.3736346,1783598551.3750439,350,19.803524017333984,136,NORMAL,8,2
7695,1783598551.4051518,1783598551.4049077,350,1783598551.3736346,1783598551.3750439,350,30.107975006103516,136,NORMAL,8,3
7696,1783598551.4149063,1783598551.41476,350,1783598551.3736346,1783598551.3750439,350,39.86239433288574,136,NORMAL,8,4
7697,1783598551.4251015,1783598551.4248345,350,1783598551.3736346,1783598551.3750439,350,50.05764961242676,136,NORMAL,8,5
7698,1783598551.4350731,1783598551.4348228,350,1783598551.3736346,1783598551.3750439,350,60.02926826477051,136,NORMAL,8,6
7699,1783598551.445135,1783598551.4448626,350,1783598551.3736346,1783598551.3750439,350,70.09124755859375,136,NORMAL,8,7
7700,1783598551.4549243,1783598551.4547422,350,1783598551.3736346,1783598551.3750439,350,79.8804759979248,136,NORMAL,8,8
7701,1783598551.4653308,1783598551.4649727,351,1783598551.459578,1783598551.460205,351,5.125761032104492,136,NORMAL,14,1
7702,1783598551.4749768,1783598551.4747407,351,1783598551.459578,1783598551.460205,351,14.771699905395508,136,NORMAL,14,2
7703,1783598551.4851618,1783598551.4849024,351,1783598551.459578,1783598551.460205,351,24.956703186035156,136,NORMAL,14,3
7704,1783598551.4949524,1783598551.4947717,351,1783598551.459578,1783598551.460205,351,34.74736213684082,136,NORMAL,14,4
7705,1783598551.5053105,1783598551.5050602,351,1783598551.459578,1783598551.460205,351,45.1054573059082,136,NORMAL,14,5
7706,1783598551.5152855,1783598551.5150225,351,1783598551.459578,1783598551.460205,351,55.080413818359375,136,NORMAL,14,6
7707,1783598551.525394,1783598551.525132,351,1783598551.459578,1783598551.460205,351,65.18888473510742,136,NORMAL,14,7
7708,1783598551.5350657,1783598551.5348508,351,1783598551.459578,1783598551.460205,351,74.8605728149414,136,NORMAL,14,8
7709,1783598551.544916,1783598551.5446908,351,1783598551.459578,1783598551.460205,351,84.71083641052246,136,NORMAL,14,9
7710,1783598551.5548844,1783598551.5546448,351,1783598551.459578,1783598551.460205,351,94.67935562133789,136,NORMAL,14,10
7711,1783598551.5650895,1783598551.5648313,351,1783598551.459578,1783598551.460205,351,104.88438606262207,136,NORMAL,14,11
7712,1783598551.575499,1783598551.5752082,351,1783598551.459578,1783598551.460205,351,115.29397964477539,136,NORMAL,14,12
7713,1783598551.5851114,1783598551.584871,351,1783598551.459578,1783598551.460205,351,124.90630149841309,136,NORMAL,14,13
7714,1783598551.5962071,1783598551.5955734,351,1783598551.459578,1783598551.460205,351,136.0020637512207,136,NORMAL,14,14
7715,1783598551.603273,1783598551.6030073,352,1783598551.594844,1783598551.5961373,352,7.135629653930664,136,NORMAL,9,1
7716,1783598551.615125,1783598551.6148784,352,1783598551.594844,1783598551.5961373,352,18.987655639648438,136,NORMAL,9,2
7717,1783598551.624997,1783598551.6247935,352,1783598551.594844,1783598551.5961373,352,28.859615325927734,136,NORMAL,9,3
7718,1783598551.6349635,1783598551.6347668,352,1783598551.594844,1783598551.5961373,352,38.82622718811035,136,NORMAL,9,4
7719,1783598551.6449785,1783598551.6447442,352,1783598551.594844,1783598551.5961373,352,48.841238021850586,136,NORMAL,9,5
7720,1783598551.6554418,1783598551.6549096,352,1783598551.594844,1783598551.5961373,352,59.30447578430176,136,NORMAL,9,6
7721,1783598551.665406,1783598551.6651285,352,1783598551.594844,1783598551.5961373,352,69.26870346069336,136,NORMAL,9,7
7722,1783598551.6759768,1783598551.675634,352,1783598551.594844,1783598551.5961373,352,79.83946800231934,136,NORMAL,9,8
7723,1783598551.6842053,1783598551.683527,352,1783598551.594844,1783598551.5961373,352,88.06800842285156,136,NORMAL,9,9
7724,1783598551.6942322,1783598551.6938934,353,1783598551.68239,1783598551.6842463,353,9.985923767089844,136,NORMAL,10,1
7725,1783598551.703852,1783598551.703422,353,1783598551.68239,1783598551.6842463,353,19.605636596679688,136,NORMAL,10,2
7726,1783598551.7131896,1783598551.7129462,353,1783598551.68239,1783598551.6842463,353,28.943300247192383,136,NORMAL,10,3
7727,1783598551.7251966,1783598551.7248862,353,1783598551.68239,1783598551.6842463,353,40.95029830932617,136,NORMAL,10,4
