window_id,window_start_s,window_end_s,timestamp_s,interval_start_s,interval_end_s,cpu,prev_tid,prev_comm,prev_prio,prev_state,next_tid,next_comm,next_prio,running_interval_ms
runnable_1646959,968509.383000000,968509.413500000,968509.388653000,968509.388653000,968509.388729000,4,1645745,mainboard,120,S,0,swapper/4,120,0.076000
runnable_1646959,968509.383000000,968509.413500000,968509.388653000,968509.388653000,968509.388657000,10,0,swapper/10,120,R,1644538,mainboard,120,0.004000
runnable_1646959,968509.383000000,968509.413500000,968509.388654000,968509.388654000,968509.388661000,8,0,swapper/8,120,R,1648029,cyber_recorder,120,0.007000
runnable_1646959,968509.383000000,968509.413500000,968509.388655000,968509.388655000,968509.388757000,5,1645541,mainboard,120,S,0,swapper/5,120,0.102000
runnable_1646959,968509.383000000,968509.413500000,968509.388657000,968509.388657000,968509.388664000,10,1644538,mainboard,120,S,1645477,mainboard,120,0.007000
runnable_1646959,968509.383000000,968509.413500000,968509.388658000,968509.388658000,968509.388907000,11,0,swapper/11,120,R,1564780,MainThread,120,0.249000
runnable_1646959,968509.383000000,968509.413500000,968509.388661000,968509.388661000,968509.388691000,3,1646159,dds.udp.27447,120,S,1644778,dds.udp.27417,120,0.030000
runnable_1646959,968509.383000000,968509.413500000,968509.388661000,968509.388661000,968509.388671000,8,1648029,cyber_recorder,120,S,1645711,mainboard,120,0.010000
runnable_1646959,968509.383000000,968509.413500000,968509.388661000,968509.388661000,968509.388671000,9,0,swapper/9,120,R,1646932,mainboard,120,0.010000
runnable_1646959,968509.383000000,968509.413500000,968509.388664000,968509.388664000,968509.388672000,10,1645477,mainboard,120,S,1648107,cyber_recorder,120,0.008000
runnable_1646959,968509.383000000,968509.413500000,968509.388671000,968509.388671000,968509.388691000,8,1645711,mainboard,120,S,0,swapper/8,120,0.020000
runnable_1646959,968509.383000000,968509.413500000,968509.388671000,968509.388671000,968509.388696000,9,1646932,mainboard,120,S,0,swapper/9,120,0.025000
runnable_1646959,968509.383000000,968509.413500000,968509.388672000,968509.388672000,968509.388709000,10,1648107,cyber_recorder,120,S,0,swapper/10,120,0.037000
runnable_1646959,968509.383000000,968509.413500000,968509.388691000,968509.388691000,968509.388698000,3,1644778,dds.udp.27417,120,S,1644780,dreamview_plus,120,0.007000
runnable_1646959,968509.383000000,968509.413500000,968509.388691000,968509.388691000,968509.388896000,8,0,swapper/8,120,R,1645418,mainboard,120,0.205000
runnable_1646959,968509.383000000,968509.413500000,968509.388696000,968509.388696000,968509.388732000,9,0,swapper/9,120,R,1645405,mainboard,120,0.036000
runnable_1646959,968509.383000000,968509.413500000,968509.388698000,968509.388698000,968509.388733000,3,1644780,dreamview_plus,120,S,1645400,mainboard,120,0.035000
runnable_1646959,968509.383000000,968509.413500000,968509.388709000,968509.388709000,968509.388723000,10,0,swapper/10,120,R,1646941,perf_trace_io,130,0.014000
runnable_1646959,968509.383000000,968509.413500000,968509.388723000,968509.388723000,968509.388768000,10,1646941,perf_trace_io,130,S,0,swapper/10,120,0.045000
runnable_1646959,968509.383000000,968509.413500000,968509.388729000,968509.388729000,968509.388734000,4,0,swapper/4,120,R,1645526,mainboard,120,0.005000
runnable_1646959,968509.383000000,968509.413500000,968509.388729000,968509.388729000,968509.388735000,6,0,swapper/6,120,R,1645745,mainboard,120,0.006000
runnable_1646959,968509.383000000,968509.413500000,968509.388732000,968509.388732000,968509.388761000,9,1645405,mainboard,120,S,0,swapper/9,120,0.029000
runnable_1646959,968509.383000000,968509.413500000,968509.388733000,968509.388733000,968509.388740000,3,1645400,mainboard,120,S,1645420,mainboard,120,0.007000
runnable_1646959,968509.383000000,968509.413500000,968509.388734000,968509.388734000,968509.388835000,4,1645526,mainboard,120,S,0,swapper/4,120,0.101000
