control_seq,control_record_time_sec,control_header_timestamp_sec,planning_header_sequence_num,planning_header_timestamp_sec,planning_publish_record_time_sec,matched_planning_seq_from_record,planning_age_ms,planning_trajectory_point_size,planning_trajectory_type,reuse_count,reuse_index_in_run
11267,1783598421.0620303,1783598421.0618882,677,1783598421.0132468,1783598421.0141075,677,47.92284965515137,69,SPEED_FALLBACK,11,5
11268,1783598421.07205,1783598421.0718906,677,1783598421.0132468,1783598421.0141075,677,57.94262886047363,69,SPEED_FALLBACK,11,6
11269,1783598421.0827317,1783598421.08243,677,1783598421.0132468,1783598421.0141075,677,68.62425804138184,69,SPEED_FALLBACK,11,7
11270,1783598421.0908258,1783598421.0905325,677,1783598421.0132468,1783598421.0141075,677,76.71833038330078,69,SPEED_FALLBACK,11,8
11271,1783598421.1004765,1783598421.1001978,677,1783598421.0132468,1783598421.0141075,677,86.36903762817383,69,SPEED_FALLBACK,11,9
11272,1783598421.1124642,1783598421.1121573,677,1783598421.0132468,1783598421.0141075,677,98.35672378540039,69,SPEED_FALLBACK,11,10
11273,1783598421.122261,1783598421.1220007,677,1783598421.0132468,1783598421.0141075,677,108.1535816192627,69,SPEED_FALLBACK,11,11
11274,1783598421.1325521,1783598421.1323514,678,1783598421.120865,1783598421.121593,678,10.959148406982422,69,SPEED_FALLBACK,7,1
11275,1783598421.1421227,1783598421.1419053,678,1783598421.120865,1783598421.121593,678,20.529747009277344,69,SPEED_FALLBACK,7,2
11276,1783598421.152397,1783598421.152096,678,1783598421.120865,1783598421.121593,678,30.803918838500977,69,SPEED_FALLBACK,7,3
11277,1783598421.1623065,1783598421.1620715,678,1783598421.120865,1783598421.121593,678,40.71354866027832,69,SPEED_FALLBACK,7,4
11278,1783598421.1730742,1783598421.1726298,678,1783598421.120865,1783598421.121593,678,51.48124694824219,69,SPEED_FALLBACK,7,5
11279,1783598421.1802948,1783598421.1800733,678,1783598421.120865,1783598421.121593,678,58.70175361633301,69,SPEED_FALLBACK,7,6
11280,1783598421.192506,1783598421.1922636,678,1783598421.120865,1783598421.121593,678,70.91307640075684,69,SPEED_FALLBACK,7,7
11281,1783598421.202541,1783598421.2022767,679,1783598421.192827,1783598421.1934948,679,9.046316146850586,69,SPEED_FALLBACK,7,1
11282,1783598421.212192,1783598421.2119765,679,1783598421.192827,1783598421.1934948,679,18.697261810302734,69,SPEED_FALLBACK,7,2
11283,1783598421.2224815,1783598421.222195,679,1783598421.192827,1783598421.1934948,679,28.986692428588867,69,SPEED_FALLBACK,7,3
11284,1783598421.2329676,1783598421.232564,679,1783598421.192827,1783598421.1934948,679,39.47281837463379,69,SPEED_FALLBACK,7,4
